1440,1907,1,"-"," ","Aéro-Club de Belgique. Les grands concours de distance et d'atterrissage du 15 septembre 1907. La Conq. l'Air, 4e année, No. 19 (oct. 1907), Bruxelles, pp. 1-3, ills. 6. S (111"
132900,1908,2,"-"," ","Shall America take the lead in aeronautics. Scient. Amer., Vol. 98 (Feb. 29, 1908), New York, p. 138. S (11103"
132910,1890,2,"-"," ","Shall we fly? Amer. Meteor. Journ., Vol. 7, No. 4 (Aug. 1890), Ann Arbor, Mich., pp. 237- 238. S (11104"
133080,1809,2,"-"," ","Short account of an inflammable air balloon sent up from Clapton, Oct. 25, 1809. B 748, London, 18--, 8°. (11118"
133170,1909,2,"-"," ","Side lights on the future of flying. Aeronautics, Vol. 4, No. 2 (Feb. 1909), New York, pp. 84-85. S (11127"
133310,1890,3,"-"," ","Signalpistole. Zeitschr. Luftsch., IX Jahrg., 8 Heft, 1890, Berlin, p. 197. S (11136"
134510,1900,1,"-"," ","Similitude mécanique des corps plougés. L'Aéronaute, 33e année, No. 7 (juil. 1900), Paris, pp. 161-164. S (11249"
134850,1908,2,"-"," ","Skyscraping at Fort Myer. Collier's, Vol. 42, No. 1, 1908, New York, p. 11, ill. S (11270"
1460,1907,4,"-","Aero Club de Sud-Ouest","Aero club del Sud-Ouest. Boll. Soc. Aer. Ital., Anno IV, N. 4 (Aprile 1907), Roma, p. 186. S (113"
13600,1903,2,"-"," ","Bacon's (Rev.) views on flying machines. Aer. World, Vol. 1, No. 6, 1903, Glenville, Ohio, p. 139. S (1132"
135940,1889,1,"-"," ","Soie (La) artificielle. Rev. Aér., 2e année, 2e, 3e et 4e liv., 1889, Paris, pp. 75-80, fig. 40. S (11344"
136020,1863,1,"-"," ","Solution pratique de la navigation aérienne. Paris, Dentu, 1863, 12°, ill. (11348"
136050,1909,2,"-"," ","Some new American aeroplanes. Scient. Amer., Vol. 100, No. 23 (June 5, 1909), New York, pp. 421-431, ill. 2. S (11351"
136060,1901,2,"-"," ","Some new motor balloons. Flying, No. 1 (Dec. 1901), London, pp. 20-21. S (11352"
136070,1897,2,"-"," ","Some novel ideas on artificial flight. Aër. Journ., Vol. 1, No. 2, 1897, London, pp. 13-14. S (11353"
136080,1908,2,"-"," ","Some of the latest phases of the flying machine sport. American Aeronaut, Vol. 1, No. 5, 1908, St. Louis, pp. 148-151, ill. S (11354"
136540,1896,1,"-"," ","Souvenir de 1870 à la Gare d'Orléans, à la Gare du Nord. Bulletin Aéronautique, 8e année (fév. 1896), Paris, pp. 19-20. S (11393"
136570,1903,2,"-"," ","Sovereignty of the air. Aer. World, Vol. 1, No. 6, 1903, Glenville, Ohio, pp. 136-137. S (11396"
1470,1907,1,"-"," ","Aéro-Club (Á l') du Sud-Ouest. L'Aérophile, 15e année. No. 4 (avril 1907), Paris, pp. 86-87. S (114"
137030,1909,4,"-"," ","Spese per aeronautica sostenute da alcune nazioni nell' anno 1908. Riv. Techn. Aer. Boll. Soc. Aer. Ital., Anno VI, N. 4 (Aprile 1909), Roma, pp. 148-149. S (11427"
137650,1900,3,"-"," ","Stand (Der) Luftschiffahrt. Kriegstechn. Zeitschr., III Jahrg., 1900, Berlin, pp. 138-142. (11477"
137870,1889,3,"-"," ","Statoskop. Zeitschr. Luftsch., VIII Jahrg., 12 Heft, 1889, Berlin, p. 293. S (11493"
1480,1908,1,"-"," ","Aéro-Club (A l') du Sud-Ouest. L'Aérophile, 16e année. No. 22 (nov. 1908), Paris, p. 444. S (115"
139070,1906,4,"-"," ","Studio e costruzione di un aeroplano. Boll. Soc. Aer. Ital., Anno III, N. 10-12 (Ott.-Dic. 1906), Roma, pp. 326-327, figs. 3. S (11596"
139110,1909,4,"-"," ","Su alcune esperienze delle eliche al punto fisso. Riv. Tech. Aer. Boll. Soc. Aer. Ital., Anno VI, N. 3 (Marzo 1909), Roma, pp. 121-123, tabs. 1-6, figs. 1-7. S (11600"
139380,1908,4,"-"," ","Sugli indicatori d'orizzontalità per aeroplani. Boll. Soc. Aer. Ital., Anno V, N. 9 (Sett. 1908), Roma, pp. 292-298, figs. 1-19. S (11622"
14200,1879,2,"-"," ","Badgley's machine for aerial navigation. Scient. Amer., Vol. 41, 1879, New York, p. 18. S (1188"
1530,1908,2,"-","Aero Club of Washington","Aero Club for Washington. Aeronautics, Vol. 3, No. 3 (Sept. 1908), New York, p. 34. S (120"
14360,1908,2,"-","Baldwin; airship","Baldwin (The) airship. Aeronautics, Vol. 1, No. 11, 1908, London, pp. 73-74, ill. S (1200"
14370,1904,2,"-","Baldwin; airship","Baldwin (The) airship. Engineer, Vol. 41, 1904, Chicago, p. 795. (1201"
14470,1908,2,"-"," ","Baldwin's dirigible airship accepted by the United States Government. Pop. Mech., Vol. 10, No. 10, 1908, Chicago, pp. 643-644, ill. S (1209"
1540,1899,3,"-"," ","Aëro-Club (Der) in Paris. Ill. Aër. Mitt., No. 3 (Juli 1899), Strassburg, p. 87. S (121"
14480,1888,3,"-"," ","Baldwin's Fallschirm. Zeitschr. Luftsch., VII Jahrg., 12 Heft, 1888, Berlin, p. 395. S (1210"
14490,1888,2,"-"," ","Baldwin's Fallschirmfahrten in London. 1888, fig. 3. (Ill. Ztg.) (1211"
14560,1882,3,"-"," ","Ballon (Der). Wien, 1882. (1216"
14580,1883,1,"-"," ","Ballon (Le). Bulletin mens, de l'Ecole d'Aéronautes française. Réd. A. Brissonet. Année I-VI, 1878-1883, Paris. (1217"
14590,1890,1,"-"," ","Ballon à compartiments Mahoudeau. Inv. Nouv., T. 3, 1890, Paris, p. 13. (1218"
14600,1908,1,"-"," ","Ballon (Un) au sein d'une bourrasque de grêle. Cosmos, 57e année, No. 1248 (26 déc. 1908), Paris, pp. 702-703. S (1218a"
14610,1879,1,"-"," ","Ballon captif. Les Mondes, T. 48, 1879, Paris, pp. 485, 601. (1219"
14620,1889,1,"-"," ","Ballon (Le) captif de Barcelone. La Nature, 17e année, 1, 1889, Paris, p. 249. (1220"
14630,1895,1,"-"," ","Ballon (Le) captif de 3000 mètres cubes du Champ-de-Mars. (Beschreibung des Ballons, des Wasserstofferzeugers und der Dampfwinde.) Inv. Nouv., T. 18, 2, 1895, Paris, p. 21. (1221"
14640,1884,1,"-"," ","Ballon captif de Turin. La Nature, 12e année, 2, 1884, Paris, p. 39. (1222"
14650,1899,1,"-"," ","Ballon cerf-volant ou cycle aérien. (Le 'skycycle.') Cosmos, T. 40, 1899, Paris, pp. 170-171. (1223"
